question,expected_keywords,expected_answer,expected_document
"Cosa è la batch normalization?","batch normalization,mean,variance,activation","La batch normalization normalizza media e varianza delle attivazioni, rendendo più stabile il training delle reti profonde.","training_NN.pdf"
"Perché si usa il learning rate decay?","learning rate,decay,training,convergence","Il learning rate decay riduce progressivamente il learning rate: valori più alti aiutano all'inizio, valori più bassi aiutano vicino all'ottimo.","training_NN.pdf"
"Cosa è il gradient descent?","gradient descent,negative gradient,loss,optimization","Il gradient descent minimizza una funzione di loss aggiornando i parametri nella direzione del gradiente negativo.","Optimization.pdf"
"Quali problemi può avere SGD?","SGD,local minima,saddle point,oscillation","SGD può procedere lentamente, oscillare in direzioni ripide e bloccarsi in minimi locali o saddle point.","Optimization.pdf"
"Cosa è Adam?","Adam,adaptive moment,optimization,neural networks","Adam è un metodo di ottimizzazione basato su momenti adattivi ed è spesso usato per addestrare reti neurali.","Optimization.pdf"
"Qual è la differenza tra underfitting e overfitting?","underfitting,overfitting,bias,variance","L'underfitting avviene quando il modello è troppo semplice e ha alto bias; l'overfitting quando il modello si adatta troppo ai dati di training e ha alta variance.","Regularization.pdf"
"A cosa serve la regularization?","regularization,overfitting,L1,L2,loss","La regularization aggiunge un termine di penalizzazione alla loss per ridurre l'overfitting e preferire modelli più semplici.","Regularization.pdf"
"Cosa è una CNN?","CNN,convolutional neural network,convolution,filters","Una CNN è una rete neurale convoluzionale che usa filtri e layer convoluzionali per estrarre caratteristiche, soprattutto dalle immagini.","CNN.pdf"
"Cosa definisce un convolution layer?","convolution layer,filter,width,height,feature","Un convolution layer è definito da dimensioni dei filtri, numero di filter banks e filtri che catturano diverse caratteristiche dell'immagine.","CNN.pdf"
"Cosa è LeNet?","LeNet,digit recognition,convolution,pooling","LeNet è una classica architettura CNN per il riconoscimento di cifre, composta da layer convoluzionali, pooling e fully connected.","CNN_Classic Architectures.pdf"
"Qual è la differenza tra AlexNet e VGG?","AlexNet,VGG,parameters,3x3 filters","AlexNet è una CNN più grande di LeNet, mentre VGG usa molti filtri 3x3 ed è più semplice ma con molti parametri.","CNN_Classic Architectures.pdf"
"Perché GoogLeNet usa moduli Inception?","GoogLeNet,Inception,computational efficiency,parameters","GoogLeNet usa moduli Inception per costruire reti più profonde mantenendo efficienza computazionale e riducendo il numero di parametri.","CNN_2.pdf"
"Cosa sono le depthwise separable convolutions?","depthwise separable convolutions,channels,filters,Xception","Le depthwise separable convolutions separano l'elaborazione spaziale e per canale, riducendo il costo computazionale rispetto alle convoluzioni normali.","CNN_2.pdf"
"Quale problema risolvono le ResNet?","ResNet,residual block,depth,vanishing gradient","Le ResNet aiutano ad addestrare reti molto profonde usando residual block e skip connections per facilitare l'apprendimento dell'identità.","CNN_2.pdf"
"Cosa è la semantic segmentation?","semantic segmentation,pixel,class,computer vision","La semantic segmentation assegna una classe a ogni pixel dell'immagine, producendo una classificazione densa della scena.","CNN_2.pdf"
"Cosa è la data augmentation?","data augmentation,transformations,training,regularization","La data augmentation genera esempi trasformati artificialmente per migliorare la generalizzazione del modello.","training_NN.pdf"
"Cosa è il dropout?","dropout,neurons,regularization,ensemble","Il dropout disattiva casualmente una parte dei neuroni durante il training, riducendo l'overfitting e agendo come una forma di ensemble.","training_NN.pdf"
